I82.1;F_82_Suction_On
I82.2;F_82_Suction_Off
I82.3;F_82_Arm_2_Del
I82.4;F_82_Arm_2_Mag
I83.0;F_83_Led_Start
I83.1;F_83_Led_Reset
I83.2;F_83_Led_Extra1
I83.3;F_83_Led_Extra2
I83.4;F_83_Panel_O4
I83.5;F_83_Panel_O5
I83.6;F_83_Panel_O6
I83.7;F_83_Panel_O7
I85.0;C_85_Initialization
I85.1;C_85_Part_Del
I85.2;C_85_Part_Mag
IB86;C_86_Mag_Parts
IB87;C_87_RQ_MParts
I90.0;O_90_Part_Reserve
I90.1;O_90_Claw_Del
I90.2;O_90_Claw_Cart
I90.3;O_90_Claw_Reserve
I90.4;O_90_Claw_Low
I90.5;O_90_Claw_High
I90.6;O_90_Part_in_Claw
I91.0;O_91_Start
I91.1;O_91_Stop
I91.2;O_91_Key_Pos
I91.3;O_91_Reset
I91.4;O_91_Panel_I4
I91.5;O_91_Panel_I5
I91.6;O_91_Panel_I6
I91.7;O_91_Panel_I7
I92.0;F_92_Claw_2_Cart
I92.1;F_92_Claw_2_Del
I92.2;F_92_Claw_Down
I92.3;F_92_Close_Claw
I93.0;F_93_Led_Start
I93.1;F_93_Led_Reset
I93.2;F_93_Led_Extra1
I93.3;F_93_Led_Extra2
I93.4;F_93_Panel_O4
I93.5;F_93_Panel_O5
I93.6;F_93_Panel_O6
I93.7;F_93_Panel_O7
I94.0;A_94_Request
I94.1;A_94_No_Cart
I94.2;A_94_Cart_Full
I94.3;A_94_CRoute_Out
I95.0;C_95_Initialization
I95.1;C_95_PD_Proc
I95.2;C_95_PD_Cart
I100.0;O_100_PInit_Pos
I100.1;O_100_PDrill_Pos
I100.2;O_100_PTest_Pos
I100.3;O_100_SDrill_High
I100.4;O_100_SDrill_Low
I100.5;O_100_RT_Sensor
I100.6;O_100_PTest_Ok
I101.0;O_101_Start
I101.1;O_101_Stop
I101.2;O_101_Key_Pos
I101.3;O_101_Reset
I101.4;O_101_Panel_I4
I101.5;O_101_Panel_I5
I101.6;O_101_Panel_I6
I101.7;O_101_Panel_I7
I102.0;F_102_Drill_On
I102.1;F_102_RT_On
I102.2;F_102_Drill_Down
I102.3;F_102_Drill_Up
I102.4;F_102_Drill_Pin
I102.5;F_102_Test_Pin
I103.0;F_103_Led_Start
I103.1;F_103_Led_Reset
I103.2;F_103_Led_Extra1
I103.3;F_103_Led_Extra2
I103.4;F_103_Panel_O4
I103.5;F_103_Panel_O5
I103.6;F_103_Panel_O6
I103.7;F_103_Panel_O7
I105.0;C_105_Initialization
I105.1;C_105_Part_ready
I105.2;C_105_Test_Ok
I105.3;C_105_Test_Fail
Q20.0;I_20_Led_On
Q20.1;I_20_Led_Off
Q20.7;I_20_Conveyor
Q24.0;I_24_Cart_Test
Q24.1;C_24_Request
Q24.2;C_24_CartDel
Q24.3;C_24_CRoute_Out
Q25.0;I_25_Cart_Proc
Q25.1;C_25_Request
Q25.2;C_25_CartDel
Q25.3;C_25_CRoute_Out
Q26.0;I_26_Cart_Visi
Q26.1;C_26_Request
Q26.2;C_26_CartDel
Q26.3;C_26_CRoute_Out
Q27.0;I_27_Cart_Robo
Q27.1;C_27_Request
Q27.2;C_27_CartDel
Q27.3;C_27_CRoute_Out
Q28.0;I_28_Cart_Stor
Q28.1;C_28_Request
Q28.2;C_28_CartDel
Q28.3;C_28_CRoute_Out
Q29.0;I_29_Cart_Sort
Q29.1;C_29_Request
Q29.2;C_29_CartDel
Q29.3;C_29_CRoute_Out
Q30.0;I_30_Led_Start
Q30.1;I_30_Led_Reset
Q30.2;I_30_Led_Extra1
Q30.3;I_30_Led_Extra2
Q30.4;I_30_Spring_Cyl
Q30.5;I_30_Cover_Cyl
Q30.6;C_30_Robot1
Q30.7;C_30_Robot2
QB32;A_32_RoboCartID
Q33.0;F_33_Led_Start
Q33.1;F_33_Led_Reset
Q33.2;F_33_Led_Extra1
Q33.3;F_33_Led_Extra2
Q33.4;F_33_Spring_Cyl
Q33.5;F_33_Cover_Cyl
Q34.0;A_34_Cart_Stat
Q34.1;A_34_Cart_Next
Q34.2;A_34_Optic
Q34.3;A_34_Count
Q34.4;A_34_Pist_Bck
Q34.5;A_34_Release_FB
Q34.6;A_34_CRoute_In
Q35.0;C_35_Part_Del
Q41.0;I_41_Led_Start
Q41.1;I_41_Led_Reset
Q41.2;I_41_Led_Extra1
Q41.3;I_41_Led_Extra2
Q41.4;I_41_Panel_O4
Q41.5;I_41_Panel_O5
Q41.6;I_41_Panel_O6
Q41.7;I_41_Panel_O7
Q42.0;C_42_Profibus
QB43;A_43_StorCartID
Q44.0;A_44_Cart_Stat
Q44.1;A_44_Cart_Next
Q44.2;A_44_Optic
Q44.3;A_44_Count
Q44.4;A_44_Pist_Bck
Q44.5;A_44_Release_FB
Q44.6;A_44_CRoute_In
Q45.0;C_45_Start
Q45.1;C_45_StorePart
Q45.2;C_45_RetrievePart
Q50.0;I_50_Claw_2_Del
Q50.1;I_50_Claw_2_Cart
Q50.2;I_50_Claw_Down
Q50.3;I_50_Close_Claw
Q51.0;I_51_Led_Start
Q51.1;I_51_Led_Reset
Q51.2;I_51_Led_Extra1
Q51.3;I_51_Led_Extra2
Q51.4;I_51_Panel_O4
Q51.5;I_51_Panel_O5
Q51.6;I_51_Panel_O6
Q51.7;I_51_Panel_O7
Q52.0;C_52_Profibus
QB53;A_53_SortCartID
Q54.0;A_54_Cart_Stat
Q54.1;A_54_Cart_Next
Q54.2;A_54_Optic
Q54.3;A_54_Count
Q54.4;A_54_Pist_Bck
Q54.5;A_54_Release_FB
Q54.6;A_54_CRoute_In
Q55.0;C_55_Start
Q55.1;C_55_Cart2Del
Q60.0;I_60_Conveyor
Q60.1;I_60_P1
Q60.2;I_60_P2
Q60.3;I_60_Identify
Q61.0;I_61_Led_Start
Q61.1;I_61_Led_Reset
Q61.2;I_61_Led_Extra1
Q61.3;I_61_Led_Extra2
Q61.4;I_61_Panel_O4
Q61.5;I_61_Panel_O5
Q61.6;I_61_Panel_O6
Q61.7;I_61_Panel_O7
Q62.0;C_62_Profibus
Q65.0;C_65_RBS_Output
Q65.1;C_65_RSB_Output
Q65.2;C_65_BRS_Output
Q65.3;C_65_BSR_Output
Q65.4;C_65_SRB_Output
Q65.5;C_65_SBR_Output
Q70.0;I_70_Elev_Down
Q70.1;I_70_Elev_Up
Q70.2;I_70_Eject_Part
Q70.3;I_70_Air_On
Q71.0;I_71_Led_Start
Q71.1;I_71_Led_Reset
Q71.2;I_71_Led_Extra1
Q71.3;I_71_Led_Extra2
Q71.4;I_71_Panel_O4
Q71.5;I_71_Panel_O5
Q71.6;I_71_Panel_O6
Q71.7;I_71_Panel_O7
Q72.0;C_72_Profibus
QB73;A_73_TestCartID
Q74.0;A_74_Cart_Stat
Q74.1;A_74_Cart_Next
Q74.2;A_74_Optic
Q74.3;A_74_Count
Q74.4;A_74_Pist_Bck
Q74.5;A_74_Release_FB
Q74.6;A_74_CRoute_In
Q75.0;C_75_RQ_Delivery1
Q75.1;C_75_RQ_Delivery2
Q75.2;C_75_Identified
Q75.3;C_75_Requested
Q80.0;I_80_Pist_Adv
Q80.1;I_80_Suction_On
Q80.2;I_80_Suction_Off
Q80.3;I_80_Arm_2_Del
Q80.4;I_80_Arm_2_Mag
Q81.0;I_81_Led_Start
Q81.1;I_81_Led_Reset
Q81.2;I_81_Led_Extra1
Q81.3;I_81_Led_Extra2
Q81.4;I_81_Panel_O4
Q81.5;I_81_Panel_O5
Q81.6;I_81_Panel_O6
Q81.7;I_81_Panel_O7
Q82.0;C_82_Profibus
QB83;C_83_RQ_Parts
Q85.0;C_85_Start
Q85.1;C_85_Single
Q85.2;C_85_Continuous
Q85.3;C_85_Counted
Q90.0;I_90_Claw_2_Cart
Q90.1;I_90_Claw_2_Del
Q90.2;I_90_Claw_Down
Q90.3;I_90_Close_Claw
Q91.0;I_91_Led_Start
Q91.1;I_91_Led_Reset
Q91.2;I_91_Led_Extra1
Q91.3;I_91_Led_Extra2
Q91.4;I_91_Panel_O4
Q91.5;I_91_Panel_O5
Q91.6;I_91_Panel_O6
Q91.7;I_91_Panel_O7
Q92.0;C_92_Profibus
QB93;A_93_ProcCartID
Q94.0;A_94_Cart_Stat
Q94.1;A_94_Cart_Next
Q94.2;A_94_Optic
Q94.3;A_94_Count
Q94.4;A_94_Pist_Bck
Q94.5;A_94_Release_FB
Q94.6;A_94_CRoute_In
Q95.0;C_95_Start
Q95.1;C_95_Cart2Del
Q95.2;C_95_Del2Cart
Q100.0;I_100_Drill_On
Q100.1;I_100_RT_On
Q100.2;I_100_Drill_Down
Q100.3;I_100_Drill_Up
Q100.4;I_100_Drill_Pin
Q100.5;I_100_Test_Pin
Q101.0;I_101_Led_Start
Q101.1;I_101_Led_Reset
Q101.2;I_101_Led_Extra1
Q101.3;I_101_Led_Extra2
Q101.4;I_101_Panel_O4
Q101.5;I_101_Panel_O5
Q101.6;I_101_Panel_O6
Q101.7;I_101_Panel_O7
Q102.0;C_102_Profibus
QB103;C_103_RQ_Turns
Q105.0;C_105_Start
Q105.1;C_105_Test
Q105.2;C_105_TestDrill
Q105.3;C_105_Rotation
