Variable;Value;Timestamp
C_24_Request;true;2025-09-26T12:32:12.669Z
F_22_Conveyor;true;2025-09-26T12:32:12.845Z
F_29_Release_FB;true;2025-09-26T12:32:12.903Z
C_24_Request;true;2025-09-26T12:32:12.903Z
A_54_Release_FB;true;2025-09-26T12:32:12.903Z
O_29_Pist_Bck;true;2025-09-26T12:32:13.009Z
A_53_SortCartID;0;2025-09-26T12:32:13.067Z
A_54_Pist_Bck;true;2025-09-26T12:32:13.067Z
C_24_Request;false;2025-09-26T12:32:14.654Z
C_24_Request;false;2025-09-26T12:32:14.873Z
O_29_Cart_Stat;false;2025-09-26T12:32:15.184Z
F_53_Led_Extra1;true;2025-09-26T12:32:15.231Z
A_54_No_Cart;true;2025-09-26T12:32:15.231Z
A_54_Cart_Stat;false;2025-09-26T12:32:15.231Z
O_29_Cart_Next;true;2025-09-26T12:32:21.454Z
F_29_Release_FB;false;2025-09-26T12:32:21.501Z
A_54_Cart_Next;true;2025-09-26T12:32:21.501Z
A_54_Release_FB;false;2025-09-26T12:32:21.501Z
O_29_Pist_Bck;false;2025-09-26T12:32:21.595Z
A_54_Pist_Bck;false;2025-09-26T12:32:21.626Z
O_24_Count;true;2025-09-26T12:32:22.086Z
A_73_TestCartID;1;2025-09-26T12:32:22.125Z
A_74_Count;true;2025-09-26T12:32:22.125Z
O_24_Count;false;2025-09-26T12:32:22.195Z
A_74_Count;false;2025-09-26T12:32:22.225Z
A_73_TestCartID;2;2025-09-26T12:32:22.267Z
O_29_Cart_Next;false;2025-09-26T12:32:22.455Z
A_54_Cart_Next;false;2025-09-26T12:32:22.485Z
F_22_Conveyor;false;2025-09-26T12:32:23.127Z
O_24_Cart_Stat;true;2025-09-26T12:32:23.190Z
F_73_Led_Extra1;false;2025-09-26T12:32:23.190Z
A_74_No_Cart;false;2025-09-26T12:32:23.190Z
C_24_CartDel;true;2025-09-26T12:32:23.190Z
A_74_Cart_Stat;true;2025-09-26T12:32:23.191Z
A_74_CRoute_In;true;2025-09-26T12:32:23.323Z
A_74_CRoute_In80;true;2025-09-26T12:32:23.473Z
A_74_CRoute_In;true;2025-09-26T12:32:23.500Z
F_82_Arm_2_Del;true;2025-09-26T12:32:23.543Z
A_74_CRoute_In;false;2025-09-26T12:32:25.230Z
A_74_CRoute_In80;false;2025-09-26T12:32:25.426Z
O_80_Arm_Mag;false;2025-09-26T12:32:25.465Z
A_74_CRoute_In;false;2025-09-26T12:32:25.465Z
C_24_CartDel;false;2025-09-26T12:32:26.098Z
O_80_Arm_Del;true;2025-09-26T12:32:26.849Z
F_82_Pist_Adv;true;2025-09-26T12:32:26.888Z
F_82_Arm_2_Del;false;2025-09-26T12:32:26.888Z
O_70_SStation;true;2025-09-26T12:32:26.946Z
O_80_Pist_Back;false;2025-09-26T12:32:27.287Z
F_82_Pist_Adv;false;2025-09-26T12:32:27.858Z
F_82_Arm_2_Mag;true;2025-09-26T12:32:27.885Z
O_80_Pist_Back;true;2025-09-26T12:32:27.926Z
O_70_SStation;false;2025-09-26T12:32:29.175Z
O_80_Arm_Del;false;2025-09-26T12:32:29.372Z
O_80_Arm_Mag;true;2025-09-26T12:32:30.044Z
F_82_Suction_On;true;2025-09-26T12:32:30.086Z
F_82_Arm_2_Mag;false;2025-09-26T12:32:30.086Z
O_80_Part_Stuck;true;2025-09-26T12:32:30.251Z
F_82_Arm_2_Del;true;2025-09-26T12:32:30.282Z
O_80_Arm_Mag;false;2025-09-26T12:32:31.527Z
O_70_SStation;true;2025-09-26T12:32:33.477Z
O_80_Arm_Del;true;2025-09-26T12:32:33.542Z
F_82_Suction_On;false;2025-09-26T12:32:33.542Z
F_82_Suction_Off;true;2025-09-26T12:32:33.543Z
F_82_Arm_2_Del;false;2025-09-26T12:32:33.543Z
O_70_SPart;true;2025-09-26T12:32:33.671Z
C_75_ID_Delivery1;false;2025-09-26T12:32:33.763Z
C_75_ID_Delivery2;false;2025-09-26T12:32:33.763Z
C_75_Part_Del;false;2025-09-26T12:32:33.763Z
O_80_Part_Stuck;false;2025-09-26T12:32:33.763Z
F_82_Suction_Off;false;2025-09-26T12:32:33.763Z
F_82_Arm_2_Mag;true;2025-09-26T12:32:33.763Z
F_83_Led_Extra1;true;2025-09-26T12:32:33.763Z
C_85_Part_Del;true;2025-09-26T12:32:33.763Z
O_70_SStation;false;2025-09-26T12:32:34.642Z
O_80_Arm_Del;false;2025-09-26T12:32:34.902Z
F_72_Elev_Up;true;2025-09-26T12:32:35.604Z
O_80_Arm_Mag;true;2025-09-26T12:32:35.643Z
F_82_Arm_2_Mag;false;2025-09-26T12:32:35.643Z
O_70_Elev_Low;false;2025-09-26T12:32:36.416Z
O_70_SInductive;true;2025-09-26T12:32:36.485Z
O_70_SInductive;false;2025-09-26T12:32:36.633Z
O_70_SStation;true;2025-09-26T12:32:36.900Z
O_70_SStation;false;2025-09-26T12:32:37.111Z
F_83_Led_Extra1;false;2025-09-26T12:32:37.523Z
C_85_Part_Del;false;2025-09-26T12:32:37.550Z
O_70_SPart_Height;true;2025-09-26T12:32:38.561Z
O_70_Elev_High;true;2025-09-26T12:32:38.912Z
C_75_ID_Delivery1;true;2025-09-26T12:32:38.950Z
C_75_ID_Delivery2;true;2025-09-26T12:32:38.951Z
F_72_Eject_Part;true;2025-09-26T12:32:40.919Z
F_72_Air_On;true;2025-09-26T12:32:40.950Z
O_70_SPart_Height;false;2025-09-26T12:32:40.991Z
O_70_Pist_Back;false;2025-09-26T12:32:41.021Z
O_70_SPart;false;2025-09-26T12:32:41.056Z
O_70_SPart_Height;true;2025-09-26T12:32:41.189Z
O_70_SPart_Height;false;2025-09-26T12:32:41.255Z
O_24_Optic;true;2025-09-26T12:32:42.020Z
A_74_Optic;true;2025-09-26T12:32:42.051Z
F_72_Eject_Part;false;2025-09-26T12:32:42.103Z
F_72_Air_On;false;2025-09-26T12:32:42.149Z
F_73_Led_Extra2;true;2025-09-26T12:32:42.149Z
A_74_Cart_Full;true;2025-09-26T12:32:42.149Z
O_70_SPart_Height;true;2025-09-26T12:32:42.244Z
O_70_SPart_Height;false;2025-09-26T12:32:42.397Z
O_70_Pist_Back;true;2025-09-26T12:32:42.443Z
F_72_Elev_Down;true;2025-09-26T12:32:42.443Z
F_72_Elev_Up;false;2025-09-26T12:32:42.443Z
O_70_Elev_High;false;2025-09-26T12:32:42.534Z
O_70_SStation;true;2025-09-26T12:32:44.358Z
O_70_SStation;false;2025-09-26T12:32:44.569Z
O_70_SInductive;true;2025-09-26T12:32:44.983Z
O_70_SInductive;false;2025-09-26T12:32:45.110Z
O_70_Elev_Low;true;2025-09-26T12:32:45.264Z
F_72_Elev_Down;false;2025-09-26T12:32:45.311Z
A_74_CRoute_Out;true;2025-09-26T12:32:45.312Z
C_75_Part_Del;true;2025-09-26T12:32:45.312Z
C_25_Request;true;2025-09-26T12:32:45.402Z
F_22_Conveyor;true;2025-09-26T12:32:45.599Z
F_24_Release_FB;true;2025-09-26T12:32:45.651Z
C_25_Request;true;2025-09-26T12:32:45.651Z
A_74_Release_FB;true;2025-09-26T12:32:45.651Z
O_24_Pist_Bck;true;2025-09-26T12:32:45.746Z
A_73_TestCartID;0;2025-09-26T12:32:45.783Z
A_74_Pist_Bck;true;2025-09-26T12:32:45.783Z
O_24_Optic;false;2025-09-26T12:32:46.660Z
A_74_Optic;false;2025-09-26T12:32:46.691Z
F_73_Led_Extra2;false;2025-09-26T12:32:46.735Z
A_74_Cart_Full;false;2025-09-26T12:32:46.766Z
A_74_CRoute_Out;false;2025-09-26T12:32:47.275Z
C_25_Request;false;2025-09-26T12:32:47.400Z
C_25_Request;false;2025-09-26T12:32:47.608Z
O_24_Cart_Stat;false;2025-09-26T12:32:47.967Z
F_73_Led_Extra1;true;2025-09-26T12:32:48.013Z
A_74_No_Cart;true;2025-09-26T12:32:48.013Z
A_74_Cart_Stat;false;2025-09-26T12:32:48.013Z
O_24_Cart_Next;true;2025-09-26T12:32:53.716Z
