Variable;Value;Timestamp
C_24_Request;true;2025-09-25T14:22:13.614Z
F_22_Conveyor;true;2025-09-25T14:22:13.829Z
F_29_Release_FB;true;2025-09-25T14:22:13.897Z
C_24_Request;true;2025-09-25T14:22:13.897Z
A_54_Release_FB;true;2025-09-25T14:22:13.897Z
O_29_Pist_Bck;true;2025-09-25T14:22:13.996Z
A_53_SortCartID;0;2025-09-25T14:22:14.036Z
A_54_Pist_Bck;true;2025-09-25T14:22:14.036Z
C_24_Request;false;2025-09-25T14:22:15.568Z
C_24_Request;false;2025-09-25T14:22:15.741Z
O_29_Cart_Stat;false;2025-09-25T14:22:16.112Z
F_53_Led_Extra1;true;2025-09-25T14:22:16.162Z
A_54_No_Cart;true;2025-09-25T14:22:16.162Z
A_54_Cart_Stat;false;2025-09-25T14:22:16.162Z
O_29_Cart_Next;true;2025-09-25T14:22:22.431Z
F_29_Release_FB;false;2025-09-25T14:22:22.480Z
A_54_Cart_Next;true;2025-09-25T14:22:22.480Z
A_54_Release_FB;false;2025-09-25T14:22:22.480Z
O_29_Pist_Bck;false;2025-09-25T14:22:22.578Z
A_54_Pist_Bck;false;2025-09-25T14:22:22.610Z
O_24_Count;true;2025-09-25T14:22:23.043Z
A_73_TestCartID;1;2025-09-25T14:22:23.082Z
A_74_Count;true;2025-09-25T14:22:23.082Z
O_24_Count;false;2025-09-25T14:22:23.152Z
A_74_Count;false;2025-09-25T14:22:23.182Z
A_73_TestCartID;2;2025-09-25T14:22:23.225Z
O_29_Cart_Next;false;2025-09-25T14:22:23.423Z
A_54_Cart_Next;false;2025-09-25T14:22:23.453Z
F_22_Conveyor;false;2025-09-25T14:22:24.037Z
O_24_Cart_Stat;true;2025-09-25T14:22:24.082Z
C_24_CartDel;true;2025-09-25T14:22:24.082Z
A_74_Cart_Stat;true;2025-09-25T14:22:24.082Z
F_73_Led_Extra1;false;2025-09-25T14:22:24.179Z
A_74_No_Cart;false;2025-09-25T14:22:24.216Z
A_74_CRoute_In;true;2025-09-25T14:22:24.251Z
A_74_CRoute_In80;true;2025-09-25T14:22:24.406Z
F_82_Arm_2_Del;true;2025-09-25T14:22:24.445Z
A_74_CRoute_In;true;2025-09-25T14:22:24.445Z
A_74_CRoute_In;false;2025-09-25T14:22:26.116Z
A_74_CRoute_In80;false;2025-09-25T14:22:26.259Z
A_74_CRoute_In;false;2025-09-25T14:22:26.290Z
O_80_Arm_Mag;false;2025-09-25T14:22:26.328Z
C_24_CartDel;false;2025-09-25T14:22:27.040Z
O_80_Arm_Del;true;2025-09-25T14:22:27.783Z
F_82_Pist_Adv;true;2025-09-25T14:22:27.822Z
F_82_Arm_2_Del;false;2025-09-25T14:22:27.822Z
O_70_SStation;true;2025-09-25T14:22:27.885Z
O_80_Pist_Back;false;2025-09-25T14:22:28.191Z
O_80_Mag_Empty;true;2025-09-25T14:22:28.406Z
O_80_Mag_Empty;false;2025-09-25T14:22:28.510Z
F_82_Pist_Adv;false;2025-09-25T14:22:28.781Z
F_82_Arm_2_Mag;true;2025-09-25T14:22:28.811Z
O_80_Pist_Back;true;2025-09-25T14:22:28.900Z
O_70_SStation;false;2025-09-25T14:22:29.981Z
