Variable;Value;Timestamp
C_24_Request;true;2025-09-26T12:24:33.141Z
F_22_Conveyor;true;2025-09-26T12:24:33.338Z
F_29_Release_FB;true;2025-09-26T12:24:33.385Z
C_24_Request;true;2025-09-26T12:24:33.385Z
A_54_Release_FB;true;2025-09-26T12:24:33.385Z
O_29_Pist_Bck;true;2025-09-26T12:24:33.483Z
A_53_SortCartID;0;2025-09-26T12:24:33.520Z
A_54_Pist_Bck;true;2025-09-26T12:24:33.520Z
C_24_Request;false;2025-09-26T12:24:35.137Z
C_24_Request;false;2025-09-26T12:24:35.310Z
A_54_Cart_Stat;false;2025-09-26T12:24:35.608Z
O_29_Cart_Stat;false;2025-09-26T12:24:35.680Z
F_53_Led_Extra1;true;2025-09-26T12:24:35.719Z
A_54_No_Cart;true;2025-09-26T12:24:35.719Z
O_29_Cart_Next;true;2025-09-26T12:24:42.040Z
F_29_Release_FB;false;2025-09-26T12:24:42.103Z
A_54_Cart_Next;true;2025-09-26T12:24:42.103Z
A_54_Pist_Bck;false;2025-09-26T12:24:42.103Z
A_54_Release_FB;false;2025-09-26T12:24:42.103Z
O_29_Pist_Bck;false;2025-09-26T12:24:42.209Z
A_73_TestCartID;1;2025-09-26T12:24:42.619Z
O_24_Count;true;2025-09-26T12:24:42.702Z
A_73_TestCartID;2;2025-09-26T12:24:42.741Z
A_74_Count;true;2025-09-26T12:24:42.741Z
O_24_Count;false;2025-09-26T12:24:42.813Z
A_74_Count;false;2025-09-26T12:24:42.840Z
O_29_Cart_Next;false;2025-09-26T12:24:42.994Z
A_54_Cart_Next;false;2025-09-26T12:24:43.027Z
F_22_Conveyor;false;2025-09-26T12:24:43.647Z
O_24_Cart_Stat;true;2025-09-26T12:24:43.710Z
F_73_Led_Extra1;false;2025-09-26T12:24:43.710Z
A_74_No_Cart;false;2025-09-26T12:24:43.710Z
C_24_CartDel;true;2025-09-26T12:24:43.710Z
A_74_Cart_Stat;true;2025-09-26T12:24:43.710Z
A_74_CRoute_In;true;2025-09-26T12:24:43.843Z
A_74_CRoute_In80;true;2025-09-26T12:24:44.017Z
F_82_Arm_2_Del;true;2025-09-26T12:24:44.055Z
A_74_CRoute_In;true;2025-09-26T12:24:44.055Z
A_74_CRoute_In;false;2025-09-26T12:24:45.743Z
A_74_CRoute_In80;false;2025-09-26T12:24:45.930Z
O_80_Arm_Mag;false;2025-09-26T12:24:45.968Z
A_74_CRoute_In;false;2025-09-26T12:24:45.968Z
C_24_CartDel;false;2025-09-26T12:24:46.569Z
O_80_Arm_Del;true;2025-09-26T12:24:47.368Z
F_82_Pist_Adv;true;2025-09-26T12:24:47.406Z
F_82_Arm_2_Del;false;2025-09-26T12:24:47.407Z
O_70_SStation;true;2025-09-26T12:24:47.462Z
O_80_Pist_Back;false;2025-09-26T12:24:47.789Z
F_82_Pist_Adv;false;2025-09-26T12:24:48.356Z
F_82_Arm_2_Mag;true;2025-09-26T12:24:48.387Z
O_80_Mag_Empty;true;2025-09-26T12:24:48.421Z
O_80_Pist_Back;true;2025-09-26T12:24:48.499Z
O_80_Mag_Empty;false;2025-09-26T12:24:48.529Z
O_70_SStation;false;2025-09-26T12:24:49.684Z
O_80_Arm_Del;false;2025-09-26T12:24:49.902Z
O_80_Arm_Mag;true;2025-09-26T12:24:50.543Z
F_82_Suction_On;true;2025-09-26T12:24:50.581Z
F_82_Arm_2_Mag;false;2025-09-26T12:24:50.581Z
O_80_Part_Stuck;true;2025-09-26T12:24:50.685Z
F_82_Arm_2_Del;true;2025-09-26T12:24:50.712Z
O_80_Arm_Mag;false;2025-09-26T12:24:52.033Z
O_70_SStation;true;2025-09-26T12:24:53.931Z
O_80_Arm_Del;true;2025-09-26T12:24:53.986Z
F_82_Suction_On;false;2025-09-26T12:24:53.986Z
F_82_Suction_Off;true;2025-09-26T12:24:53.986Z
F_82_Arm_2_Del;false;2025-09-26T12:24:53.986Z
O_70_SPart;true;2025-09-26T12:24:54.110Z
C_75_ID_Delivery2;false;2025-09-26T12:24:54.188Z
C_75_Part_Del;false;2025-09-26T12:24:54.188Z
O_80_Part_Stuck;false;2025-09-26T12:24:54.188Z
F_82_Suction_Off;false;2025-09-26T12:24:54.188Z
F_82_Arm_2_Mag;true;2025-09-26T12:24:54.188Z
F_83_Led_Extra1;true;2025-09-26T12:24:54.188Z
C_85_Part_Del;true;2025-09-26T12:24:54.188Z
O_70_SStation;false;2025-09-26T12:24:55.143Z
O_80_Arm_Del;false;2025-09-26T12:24:55.358Z
F_72_Elev_Up;true;2025-09-26T12:24:56.043Z
O_80_Arm_Mag;true;2025-09-26T12:24:56.082Z
F_82_Arm_2_Mag;false;2025-09-26T12:24:56.082Z
O_70_Elev_Low;false;2025-09-26T12:24:56.867Z
O_70_SInductive;true;2025-09-26T12:24:56.933Z
O_70_SInductive;false;2025-09-26T12:24:57.071Z
O_70_SStation;true;2025-09-26T12:24:57.432Z
O_70_SStation;false;2025-09-26T12:24:57.565Z
F_83_Led_Extra1;false;2025-09-26T12:24:58.010Z
C_85_Part_Del;false;2025-09-26T12:24:58.040Z
O_70_Elev_High;true;2025-09-26T12:24:59.204Z
C_75_ID_Delivery1;true;2025-09-26T12:24:59.234Z
F_72_Eject_Part;true;2025-09-26T12:25:01.227Z
F_72_Air_On;true;2025-09-26T12:25:01.260Z
O_70_SPart_Height;true;2025-09-26T12:25:01.300Z
O_70_Pist_Back;false;2025-09-26T12:25:01.331Z
O_70_SPart;false;2025-09-26T12:25:01.365Z
O_70_SPart_Height;false;2025-09-26T12:25:01.643Z
O_24_Optic;true;2025-09-26T12:25:02.454Z
F_72_Eject_Part;false;2025-09-26T12:25:02.522Z
F_72_Air_On;false;2025-09-26T12:25:02.522Z
F_73_Led_Extra2;true;2025-09-26T12:25:02.523Z
A_74_Cart_Full;true;2025-09-26T12:25:02.523Z
A_74_Optic;true;2025-09-26T12:25:02.523Z
O_70_SPart_Height;true;2025-09-26T12:25:02.651Z
O_70_SPart_Height;false;2025-09-26T12:25:02.705Z
O_70_Pist_Back;true;2025-09-26T12:25:02.780Z
F_72_Elev_Down;true;2025-09-26T12:25:02.821Z
F_72_Elev_Up;false;2025-09-26T12:25:02.822Z
O_70_Elev_High;false;2025-09-26T12:25:02.877Z
O_70_SStation;true;2025-09-26T12:25:04.629Z
O_70_SStation;false;2025-09-26T12:25:04.909Z
O_70_SInductive;true;2025-09-26T12:25:05.299Z
O_70_SInductive;false;2025-09-26T12:25:05.448Z
O_70_Elev_Low;true;2025-09-26T12:25:05.608Z
F_72_Elev_Down;false;2025-09-26T12:25:05.655Z
A_74_CRoute_Out;true;2025-09-26T12:25:05.656Z
C_75_Part_Del;true;2025-09-26T12:25:05.656Z
C_25_Request;true;2025-09-26T12:25:05.743Z
F_22_Conveyor;true;2025-09-26T12:25:05.921Z
F_24_Release_FB;true;2025-09-26T12:25:05.968Z
C_25_Request;true;2025-09-26T12:25:05.968Z
A_74_Release_FB;true;2025-09-26T12:25:05.968Z
O_24_Pist_Bck;true;2025-09-26T12:25:06.065Z
A_73_TestCartID;0;2025-09-26T12:25:06.100Z
A_74_Pist_Bck;true;2025-09-26T12:25:06.100Z
O_24_Optic;false;2025-09-26T12:25:07.038Z
F_73_Led_Extra2;false;2025-09-26T12:25:07.084Z
A_74_Cart_Full;false;2025-09-26T12:25:07.084Z
A_74_Optic;false;2025-09-26T12:25:07.084Z
A_74_CRoute_Out;false;2025-09-26T12:25:07.596Z
C_25_Request;false;2025-09-26T12:25:07.736Z
C_25_Request;false;2025-09-26T12:25:07.924Z
O_24_Cart_Stat;false;2025-09-26T12:25:08.317Z
F_73_Led_Extra1;true;2025-09-26T12:25:08.363Z
A_74_No_Cart;true;2025-09-26T12:25:08.363Z
A_74_Cart_Stat;false;2025-09-26T12:25:08.363Z
O_24_Cart_Next;true;2025-09-26T12:25:14.030Z
O_24_Pist_Bck;false;2025-09-26T12:25:14.096Z
F_24_Release_FB;false;2025-09-26T12:25:14.097Z
A_74_Cart_Next;true;2025-09-26T12:25:14.097Z
A_74_Pist_Bck;false;2025-09-26T12:25:14.097Z
A_74_Release_FB;false;2025-09-26T12:25:14.097Z
A_93_ProcCartID;1;2025-09-26T12:25:14.826Z
A_93_ProcCartID;2;2025-09-26T12:25:14.893Z
O_24_Cart_Next;false;2025-09-26T12:25:14.948Z
A_74_Cart_Next;false;2025-09-26T12:25:14.977Z
O_25_Optic;true;2025-09-26T12:25:15.737Z
A_94_Optic;true;2025-09-26T12:25:15.768Z
O_25_Cart_Stat;true;2025-09-26T12:25:15.889Z
C_25_CartDel;true;2025-09-26T12:25:15.928Z
A_94_Cart_Stat;true;2025-09-26T12:25:15.928Z
F_22_Conveyor;false;2025-09-26T12:25:16.002Z
F_93_Led_Extra1;false;2025-09-26T12:25:16.031Z
A_94_No_Cart;false;2025-09-26T12:25:16.132Z
A_94_Cart_Full;true;2025-09-26T12:25:16.133Z
A_94_CRoute_In;true;2025-09-26T12:25:16.133Z
F_92_Claw_Down;true;2025-09-26T12:25:16.346Z
C_95_PD_Cart;false;2025-09-26T12:25:16.388Z
A_94_CRoute_In;true;2025-09-26T12:25:16.388Z
O_90_Claw_High;false;2025-09-26T12:25:16.444Z
O_90_Claw_Low;true;2025-09-26T12:25:17.060Z
O_90_Part_in_Claw;true;2025-09-26T12:25:17.106Z
F_92_Claw_Down;false;2025-09-26T12:25:17.106Z
F_92_Close_Claw;true;2025-09-26T12:25:17.106Z
O_90_Claw_Low;false;2025-09-26T12:25:17.266Z
O_25_Optic;false;2025-09-26T12:25:17.521Z
A_94_Cart_Full;false;2025-09-26T12:25:17.560Z
A_94_Optic;false;2025-09-26T12:25:17.560Z
A_94_CRoute_In;false;2025-09-26T12:25:17.925Z
O_90_Claw_High;true;2025-09-26T12:25:18.141Z
F_92_Claw_2_Del;true;2025-09-26T12:25:18.182Z
A_94_CRoute_In;false;2025-09-26T12:25:18.182Z
O_90_Claw_Cart;false;2025-09-26T12:25:18.511Z
C_25_CartDel;false;2025-09-26T12:25:18.926Z
O_90_Claw_Reserve;true;2025-09-26T12:25:19.954Z
O_90_Claw_Reserve;false;2025-09-26T12:25:20.023Z
O_90_Claw_Del;true;2025-09-26T12:25:21.795Z
F_92_Claw_2_Del;false;2025-09-26T12:25:21.834Z
F_92_Claw_Down;true;2025-09-26T12:25:21.834Z
O_90_Claw_High;false;2025-09-26T12:25:21.920Z
O_90_Claw_Low;true;2025-09-26T12:25:22.573Z
F_92_Claw_Down;false;2025-09-26T12:25:22.622Z
F_92_Close_Claw;false;2025-09-26T12:25:22.622Z
O_100_PInit_Pos;true;2025-09-26T12:25:22.692Z
O_90_Claw_Low;false;2025-09-26T12:25:22.786Z
O_90_Part_in_Claw;false;2025-09-26T12:25:22.816Z
O_90_Claw_High;true;2025-09-26T12:25:23.581Z
C_95_PD_Proc;true;2025-09-26T12:25:23.627Z
F_102_RT_On;true;2025-09-26T12:25:23.628Z
C_105_Test_Ok;false;2025-09-26T12:25:23.628Z
O_100_PDrill_Pos;true;2025-09-26T12:25:23.729Z
O_100_PTest_Pos;true;2025-09-26T12:25:23.767Z
O_100_RT_Sensor;false;2025-09-26T12:25:23.767Z
O_100_PInit_Pos;false;2025-09-26T12:25:23.997Z
O_100_PDrill_Pos;false;2025-09-26T12:25:24.035Z
