Variable;Value;Timestamp
O_80_Mag_Full;true;2025-09-26T12:50:34.433Z
O_80_Mag_Full;false;2025-09-26T12:50:34.638Z
O_80_Mag_Full;true;2025-09-26T12:50:36.127Z
O_80_Mag_Full;false;2025-09-26T12:50:37.481Z
O_80_Mag_Full;true;2025-09-26T12:50:38.523Z
O_80_Mag_Full;false;2025-09-26T12:50:38.589Z
O_80_Mag_Full;true;2025-09-26T12:50:40.018Z
O_80_Mag_Full;false;2025-09-26T12:50:40.158Z
O_80_Mag_Full;true;2025-09-26T12:50:42.739Z
O_80_Mag_Full;false;2025-09-26T12:50:42.790Z
O_80_Mag_Full;true;2025-09-26T12:50:43.646Z
O_80_Mag_Full;false;2025-09-26T12:50:43.861Z
O_80_Mag_Full;true;2025-09-26T12:50:45.120Z
O_80_Mag_Full;false;2025-09-26T12:50:45.262Z
O_80_Mag_Full;true;2025-09-26T12:50:46.348Z
O_80_Mag_Full;false;2025-09-26T12:50:46.407Z
C_24_Request;true;2025-09-26T12:50:59.383Z
F_22_Conveyor;true;2025-09-26T12:50:59.621Z
F_29_Release_FB;true;2025-09-26T12:50:59.685Z
C_24_Request;true;2025-09-26T12:50:59.685Z
A_54_Release_FB;true;2025-09-26T12:50:59.685Z
O_29_Pist_Bck;true;2025-09-26T12:50:59.781Z
A_53_SortCartID;0;2025-09-26T12:50:59.817Z
A_54_Pist_Bck;true;2025-09-26T12:50:59.817Z
C_24_Request;false;2025-09-26T12:51:01.362Z
C_24_Request;false;2025-09-26T12:51:01.533Z
O_29_Cart_Stat;false;2025-09-26T12:51:01.911Z
F_53_Led_Extra1;true;2025-09-26T12:51:01.957Z
A_54_No_Cart;true;2025-09-26T12:51:01.957Z
A_54_Cart_Stat;false;2025-09-26T12:51:01.957Z
O_29_Cart_Next;true;2025-09-26T12:51:08.248Z
F_29_Release_FB;false;2025-09-26T12:51:08.295Z
A_54_Cart_Next;true;2025-09-26T12:51:08.295Z
A_54_Release_FB;false;2025-09-26T12:51:08.295Z
O_29_Pist_Bck;false;2025-09-26T12:51:08.389Z
A_54_Pist_Bck;false;2025-09-26T12:51:08.417Z
O_24_Count;true;2025-09-26T12:51:08.862Z
A_73_TestCartID;1;2025-09-26T12:51:08.901Z
A_74_Count;true;2025-09-26T12:51:08.901Z
O_24_Count;false;2025-09-26T12:51:08.969Z
A_73_TestCartID;2;2025-09-26T12:51:08.996Z
A_74_Count;false;2025-09-26T12:51:09.040Z
O_29_Cart_Next;false;2025-09-26T12:51:09.251Z
