Variable;Value;Timestamp
C_24_Request;true;2025-09-25T14:27:46.693Z
F_22_Conveyor;true;2025-09-25T14:27:46.929Z
F_29_Release_FB;true;2025-09-25T14:27:46.994Z
C_24_Request;true;2025-09-25T14:27:46.994Z
A_54_Release_FB;true;2025-09-25T14:27:46.994Z
O_29_Pist_Bck;true;2025-09-25T14:27:47.093Z
A_53_SortCartID;0;2025-09-25T14:27:47.130Z
A_54_Pist_Bck;true;2025-09-25T14:27:47.130Z
C_24_Request;false;2025-09-25T14:27:48.668Z
C_24_Request;false;2025-09-25T14:27:48.882Z
O_29_Cart_Stat;false;2025-09-25T14:27:49.191Z
F_53_Led_Extra1;true;2025-09-25T14:27:49.238Z
A_54_No_Cart;true;2025-09-25T14:27:49.238Z
A_54_Cart_Stat;false;2025-09-25T14:27:49.238Z
O_29_Cart_Next;true;2025-09-25T14:27:55.499Z
A_54_Cart_Next;true;2025-09-25T14:27:55.538Z
A_54_Release_FB;false;2025-09-25T14:27:55.538Z
O_29_Pist_Bck;false;2025-09-25T14:27:55.613Z
F_29_Release_FB;false;2025-09-25T14:27:55.648Z
A_54_Pist_Bck;false;2025-09-25T14:27:55.648Z
O_24_Count;true;2025-09-25T14:27:56.146Z
A_73_TestCartID;1;2025-09-25T14:27:56.177Z
O_24_Count;false;2025-09-25T14:27:56.223Z
A_73_TestCartID;2;2025-09-25T14:27:56.262Z
A_74_Count;true;2025-09-25T14:27:56.262Z
A_74_Count;false;2025-09-25T14:27:56.330Z
O_29_Cart_Next;false;2025-09-25T14:27:56.524Z
A_54_Cart_Next;false;2025-09-25T14:27:56.557Z
F_22_Conveyor;false;2025-09-25T14:27:57.128Z
O_24_Cart_Stat;true;2025-09-25T14:27:57.191Z
F_73_Led_Extra1;false;2025-09-25T14:27:57.191Z
A_74_No_Cart;false;2025-09-25T14:27:57.191Z
C_24_CartDel;true;2025-09-25T14:27:57.191Z
A_74_Cart_Stat;true;2025-09-25T14:27:57.191Z
A_74_CRoute_In;true;2025-09-25T14:27:57.324Z
A_74_CRoute_In80;true;2025-09-25T14:27:57.470Z
F_82_Arm_2_Del;true;2025-09-25T14:27:57.509Z
A_74_CRoute_In;true;2025-09-25T14:27:57.509Z
A_74_CRoute_In;false;2025-09-25T14:27:59.224Z
A_74_CRoute_In80;false;2025-09-25T14:27:59.373Z
