Variable;Namespace;Identifier
I_50_Claw_2_Del;ns=6;i=1298
I_50_Claw_2_Cart;ns=6;i=1311
I_50_Claw_Down;ns=6;i=1324
I_50_Close_Claw;ns=6;i=1337
I_51_Led_Start;ns=6;i=1350
I_51_Led_Reset;ns=6;i=1363
I_51_Led_Extra1;ns=6;i=1376
I_51_Led_Extra2;ns=6;i=1389
I_51_Panel_O4;ns=6;i=1402
I_51_Panel_O5;ns=6;i=1415
I_51_Panel_O6;ns=6;i=1428
I_51_Panel_O7;ns=6;i=1441
A_54_Request;ns=6;i=1457
A_54_No_Cart;ns=6;i=1467
A_54_Cart_Full;ns=6;i=1477
A_54_CRoute_Out;ns=6;i=1487
A_53_SortCartID;ns=6;i=1497
A_54_Cart_Stat;ns=6;i=1507
A_54_Cart_Next;ns=6;i=1517
A_54_Optic;ns=6;i=1527
A_54_Count;ns=6;i=1537
A_54_Pist_Bck;ns=6;i=1547
A_54_Release_FB;ns=6;i=1557
A_54_CRoute_In;ns=6;i=1567
C_55_Initialization;ns=6;i=1583
C_55_PD_Sort;ns=6;i=1593
C_52_Profibus;ns=6;i=1603
C_55_Start;ns=6;i=1613
C_55_Cart2Del;ns=6;i=1623
F_52_Claw_2_Del;ns=6;i=1639
F_52_Claw_2_Cart;ns=6;i=1649
F_52_Claw_Down;ns=6;i=1659
F_52_Close_Claw;ns=6;i=1669
F_53_Led_Start;ns=6;i=1679
F_53_Led_Reset;ns=6;i=1689
F_53_Led_Extra1;ns=6;i=1699
F_53_Led_Extra2;ns=6;i=1709
F_53_Panel_O4;ns=6;i=1719
F_53_Panel_O5;ns=6;i=1729
F_53_Panel_O6;ns=6;i=1739
F_53_Panel_O7;ns=6;i=1749
O_50_Part_Reserve;ns=6;i=1768
O_50_Claw_Cart;ns=6;i=1781
O_50_Claw_Del;ns=6;i=1796
O_50_Claw_Reserve;ns=6;i=1809
O_50_Claw_Low;ns=6;i=1822
O_50_Claw_High;ns=6;i=1835
O_50_Part_in_Claw;ns=6;i=1848
O_51_Start;ns=6;i=1861
O_51_Stop;ns=6;i=1874
O_51_Key_Pos;ns=6;i=1887
O_51_Reset;ns=6;i=1900
O_51_Panel_I4;ns=6;i=1913
O_51_Panel_I5;ns=6;i=1926
O_51_Panel_I6;ns=6;i=1939
O_51_Panel_I7;ns=6;i=1952
